id,tanggal_transaksi,toko,produk
"1,2023-10-01,Farmers PTC,""Kerupuk Udang Melati, Keripik Pisang"""
"2,2023-10-01,Primo PI,""Kerupuk Jengkol, Stick Keju"""
"3,2023-10-01,Hypermart PSX,""Keripik Singkong Pedas, Kerupuk Ikan"""
"4,2023-10-05,Fresh Market Sekip,""Kerupuk Udang Mawar, Makaroni"""
"5,2023-10-05,Fresh Market Ulu,""Keripik Untir-Untir, Sanjai Balado"""
"6,2023-10-05,Indomart,""Ring, Kerupuk Jengkol, Makaroni"""
"7,2023-10-09,Farmers PTC,""Keripik Pisang, Stick Keju"""
"8,2023-10-09,Primo PI,""Kerupuk Seblak, Kerupuk Udang Melati"""
"9,2023-10-09,Hypermart PSX,""Makaroni, Keripik Singkong Asin"""
"10,2023-10-13,Fresh Market Sekip,""Kerupuk Udang Mawar, Keripik Singkong Pedas"""
"11,2023-10-13,Fresh Market Ulu,""Sanjai Balado, Kerupuk Ikan"""
"12,2023-10-13,Indomart,""Makaroni, Ring"""
"13,2023-10-17,Farmers PTC,""Keripik Pisang, Stick Keju"""
"14,2023-10-17,Primo PI,""Kerupuk Ikan, Kerupuk Udang Melati"""
"15,2023-10-17,Hypermart PSX,""Makaroni, Kerupuk Seblak"""
"16,2023-10-21,Fresh Market Sekip,""Kerupuk Udang Melati, Keripik Singkong Asin"""
"17,2023-10-21,Fresh Market Ulu,""Keripik Untir-Untir, Sanjai Balado"""
"18,2023-10-21,Indomart,""Ring, Kerupuk Jengkol"""
"19,2023-10-25,Farmers PTC,""Kerupuk Udang Mawar, Stick Keju"""
"20,2023-10-25,Primo PI,""Keripik Pisang, Makaroni"""
"21,2023-10-25,Hypermart PSX,""Kerupuk Seblak, Keripik Singkong Pedas"""
"22,2023-10-29,Fresh Market Sekip,""Kerupuk Jengkol, Keripik Ikan"""
"23,2023-10-29,Fresh Market Ulu,""Kerupuk Udang Melati, Keripik Untir-Untir"""
"24,2023-10-29,Indomart,""Ring, Makaroni, Kerupuk Jengkol"""
"25,2023-11-02,Farmers PTC,""Kerupuk Udang Mawar, Stick Keju"""
"26,2023-11-02,Primo PI,""Keripik Singkong Pedas, Kerupuk Jengkol"""
"27,2023-11-02,Hypermart PSX,""Kerupuk Ikan, Keripik Pisang"""
"28,2023-11-06,Fresh Market Sekip,""Kerupuk Udang Melati, Kerupuk Seblak"""
"29,2023-11-06,Fresh Market Ulu,""Sanjai Balado, Keripik Untir-Untir"""
"30,2023-11-06,Indomart,""Makaroni, Kerupuk Jengkol"""
"31,2023-11-10,Farmers PTC,""Keripik Pisang, Stick Keju"""
"32,2023-11-10,Primo PI,""Kerupuk Ikan, Kerupuk Udang Melati"""
"33,2023-11-10,Hypermart PSX,""Makaroni, Keripik Singkong Asin"""
"34,2023-11-14,Fresh Market Sekip,""Kerupuk Udang Mawar, Keripik Singkong Pedas"""
"35,2023-11-14,Fresh Market Ulu,""Sanjai Balado, Kerupuk Ikan"""
"36,2023-11-14,Indomart,""Makaroni, Ring"""
"37,2023-11-18,Farmers PTC,""Keripik Pisang, Stick Keju"""
"38,2023-11-18,Primo PI,""Kerupuk Ikan, Kerupuk Udang Melati"""
"39,2023-11-18,Hypermart PSX,""Makaroni, Kerupuk Jengkol, Ring"""
"40,2023-11-22,Fresh Market Sekip,""Kerupuk Udang Melati, Keripik Singkong Asin"""
"41,2023-11-22,Fresh Market Ulu,""Keripik Untir-Untir, Sanjai Balado"""
"42,2023-11-22,Indomart,""Kerupuk Jengkol, Ring"""
"43,2023-11-26,Farmers PTC,""Kerupuk Udang Mawar, Stick Keju"""
"44,2023-11-26,Primo PI,""Keripik Pisang, Makaroni"""
"45,2023-11-26,Hypermart PSX,""Kerupuk Seblak, Keripik Singkong Pedas"""
"46,2023-11-30,Fresh Market Sekip,""Kerupuk Jengkol, Keripik Ikan"""
"47,2023-11-30,Fresh Market Ulu,""Kerupuk Udang Melati, Keripik Untir-Untir"""
"48,2023-11-30,Indomart,""Kerupuk Jengkol, Makaroni"""
"49,2023-12-04,Farmers PTC,""Kerupuk Udang Mawar, Stick Keju"""
"50,2023-12-04,Primo PI,""Keripik Singkong Pedas, Kerupuk Jengkol"""
"51,2023-12-04,Hypermart PSX,""Kerupuk Ikan, Keripik Pisang"""
"52,2023-12-08,Fresh Market Sekip,""Kerupuk Udang Melati, Kerupuk Seblak"""
"53,2023-12-08,Fresh Market Ulu,""Sanjai Balado, Keripik Untir-Untir"""
"54,2023-12-08,Indomart,""Makaroni, Kerupuk Jengkol"""
